FiscalYear,FiscalMonth,TotalRevenue,GrossProfit,GrossMarginPct
2012,1,2044600.003338,272821.2495,13.3435023503176
2012,2,2495816.733446,278082.6394,11.1419494738321
2012,3,502073.845800,201534.0013,40.1403106307753
2012,4,4588761.816130,383969.0557,8.3675961203806
2012,5,737839.821400,296125.0211,40.1340524747124
2012,6,1309863.251140,263008.211,20.0790586934246
2012,7,3970627.278958,373898.2577,9.41660426506013
2012,8,1475426.909980,266848.3143,18.0861764479826
2012,9,2975748.238428,371555.0808,12.486106048954
2012,10,1634600.798332,-349326.6404,-21.3707616414029
2012,11,3074602.813538,323276.2131,10.5144056876732
2012,12,4099354.356751,333401.6865,8.13302919155889
2013,1,3417953.869571,365479.1438,10.692922074044
2013,2,2175637.217725,229520.9923,10.5495985465814
2013,3,3454151.940485,299958.2808,8.68399207586342
2013,4,2544091.105517,257991.8797,10.1408270773217
2013,5,1872701.976206,282296.4465,15.0742857158681
2013,6,2829404.818943,263119.1095,9.29945081518223
2013,7,2087872.462504,286326.4309,13.7137893258387
2013,8,2316922.151480,272023.2758,11.7407171244937
2013,9,3412068.967535,339487.9512,9.94962160583929
2013,10,2532265.912399,330040.1963,13.0333941109419
2013,11,3245623.754479,54272.7845,1.67218348784584
2013,12,5081069.131596,100728.9537,1.98243619779998
2014,1,4896353.737794,75221.4927,1.53627570082161
2014,2,3333964.067555,434546.5764,13.0339310081011
2014,3,4532908.705303,456183.0348,10.0638037176067
2014,4,4795813.289802,562411.3687,11.7271322863201
2014,5,3312130.245587,681263.1636,20.5687310910463
2014,6,4075486.625601,580185.4592,14.2359799577171
2014,7,4289817.950953,647432.7306,15.0923124944305
2014,8,1337725.035600,552805.0351,41.3242647321805
2014,9,7217531.091974,674606.9724,9.34678304538477
2014,10,1797173.923000,746296.8825,41.5261357261525
2014,11,5366674.969338,792473.5587,14.766565205229
2014,12,49005.840000,27366.0015,55.8423271593753
