SalesOrderID,ProductID,OrderQty,UnitPriceDiscount,LineTotal,OrderDate,FiscalYear,FiscalMonth,TerritoryID,TerritoryName,ProductName,ProductSubCategoryName,ProductCategoryName,StandardCostAsOfOrderDate,GrossProfit
43659,776,1,0.00,2024.994000,2011-05-31 00:00:00.000,2011,11,5,Southeast,"Mountain-100 Black, 42",Mountain Bikes,Bikes,1898.0944,126.8996
43659,777,3,0.00,6074.982000,2011-05-31 00:00:00.000,2011,11,5,Southeast,"Mountain-100 Black, 44",Mountain Bikes,Bikes,1898.0944,380.6988
43659,778,1,0.00,2024.994000,2011-05-31 00:00:00.000,2011,11,5,Southeast,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.0944,126.8996
43659,771,1,0.00,2039.994000,2011-05-31 00:00:00.000,2011,11,5,Southeast,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,1912.1544,127.8396
43659,772,1,0.00,2039.994000,2011-05-31 00:00:00.000,2011,11,5,Southeast,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,1912.1544,127.8396
43659,773,2,0.00,4079.988000,2011-05-31 00:00:00.000,2011,11,5,Southeast,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.1544,255.6792
43659,774,1,0.00,2039.994000,2011-05-31 00:00:00.000,2011,11,5,Southeast,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,1912.1544,127.8396
43659,714,3,0.00,86.521200,2011-05-31 00:00:00.000,2011,11,5,Southeast,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,31.7244,-8.652
43659,716,1,0.00,28.840400,2011-05-31 00:00:00.000,2011,11,5,Southeast,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing,31.7244,-2.884
43659,709,6,0.00,34.200000,2011-05-31 00:00:00.000,2011,11,5,Southeast,"Mountain Bike Socks, M",Socks,Clothing,3.3963,13.8222
43659,712,2,0.00,10.373000,2011-05-31 00:00:00.000,2011,11,5,Southeast,AWC Logo Cap,Caps,Clothing,5.7052,-1.0374
43659,711,4,0.00,80.746000,2011-05-31 00:00:00.000,2011,11,5,Southeast,"Sport-100 Helmet, Blue",Helmets,Accessories,12.0278,32.6348
43660,762,1,0.00,419.458900,2011-05-31 00:00:00.000,2011,11,5,Southeast,"Road-650 Red, 44",Road Bikes,Bikes,413.1463,6.3126
43660,758,1,0.00,874.794000,2011-05-31 00:00:00.000,2011,11,5,Southeast,"Road-450 Red, 52",Road Bikes,Bikes,884.7083,-9.9143
43661,745,1,0.00,809.760000,2011-05-31 00:00:00.000,2011,11,6,Canada,"HL Mountain Frame - Black, 48",Mountain Frames,Components,699.0928,110.6672
43661,743,1,0.00,714.704300,2011-05-31 00:00:00.000,2011,11,6,Canada,"HL Mountain Frame - Black, 42",Mountain Frames,Components,617.0281,97.6762
43661,747,2,0.00,1429.408600,2011-05-31 00:00:00.000,2011,11,6,Canada,"HL Mountain Frame - Black, 38",Mountain Frames,Components,617.0281,195.3524
43661,712,4,0.00,20.746000,2011-05-31 00:00:00.000,2011,11,6,Canada,AWC Logo Cap,Caps,Clothing,5.7052,-2.0748
43661,715,4,0.00,115.361600,2011-05-31 00:00:00.000,2011,11,6,Canada,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,31.7244,-11.536
43661,742,2,0.00,1445.189800,2011-05-31 00:00:00.000,2011,11,6,Canada,"HL Mountain Frame - Silver, 46",Mountain Frames,Components,623.8403,197.5092
43661,775,3,0.00,6074.982000,2011-05-31 00:00:00.000,2011,11,6,Canada,"Mountain-100 Black, 38",Mountain Bikes,Bikes,1898.0944,380.6988
43661,778,2,0.00,4049.988000,2011-05-31 00:00:00.000,2011,11,6,Canada,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.0944,253.7992
43661,711,2,0.00,40.373000,2011-05-31 00:00:00.000,2011,11,6,Canada,"Sport-100 Helmet, Blue",Helmets,Accessories,12.0278,16.3174
43661,741,2,0.00,1637.400000,2011-05-31 00:00:00.000,2011,11,6,Canada,"HL Mountain Frame - Silver, 48",Mountain Frames,Components,706.811,223.778
