SalesOrderID,OrderDate,ShipDate,FiscalYear,FiscalMonth,LeadTimeDays
43659,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43660,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43661,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43662,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43663,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43664,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43665,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43666,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43667,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43668,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43669,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43670,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43671,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43672,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43673,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43674,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43675,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43676,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43677,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43678,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43679,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43680,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43681,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43682,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43683,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43684,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43685,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43686,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43687,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43688,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43689,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43690,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43691,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43692,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43693,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43694,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43695,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43696,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43697,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43698,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43699,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43700,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43701,2011-05-31 00:00:00.000,2011-06-07 00:00:00.000,2011,11,7
43702,2011-06-01 00:00:00.000,2011-06-08 00:00:00.000,2011,12,7
43703,2011-06-01 00:00:00.000,2011-06-08 00:00:00.000,2011,12,7
43704,2011-06-01 00:00:00.000,2011-06-08 00:00:00.000,2011,12,7
43705,2011-06-01 00:00:00.000,2011-06-08 00:00:00.000,2011,12,7
43706,2011-06-02 00:00:00.000,2011-06-09 00:00:00.000,2011,12,7
43707,2011-06-02 00:00:00.000,2011-06-09 00:00:00.000,2011,12,7
